nome_mutuario;cpf;numero_identidade;data_nascimento;estado_civil;sexo
ALINE ;10513946519;4484166;26/06/1981;solteiro;M
MARCIA ;11462762383;4653024;20/06/1986;casado;F
LUCAS ;10656610029;6178233;10/09/1996;solteiro;F
LETICIA ;11332779429;7435647;21/12/1995;solteiro;F
GIVANILDO ;10585488862;1780592;20/11/1981;solteiro;F
MANOEL ;11249135277;5013245;18/10/1962;solteiro;M
TAMISE ;11008401119;3521181;09/01/1950;divorciado;M
EMANUELE ;11452502601;9439021;25/07/1977;solteiro;M
LUCELIO ;12094856129;1107294;07/12/1959;solteiro;F
KATIA ;11144366857;1546386;27/12/1992;casado;F
MANOELA ;12014132440;6478390;13/12/1981;solteiro;F
ROBERTA ;10964459393;8257379;11/04/1982;solteiro;F
MIRACI ;11224907257;1114062;05/02/1974;solteiro;F
SANDRA ;10633323025;6220364;23/06/1971;solteiro;F
CARLOS ;10434175289;5643780;19/04/2000;casado;F
THIAGO ;11726317327;9311761;04/01/1990;solteiro;F
FRANCISCO ;11945579951;1944872;05/02/1990;solteiro;F
ADRIANO ;11836318571;5741059;13/04/1986;solteiro;M
FELIPE ;11081691529;2526236;16/10/1975;divorciado;F
GENY ;11947682783;2031263;08/02/1984;solteiro;F
ANA ;11997558432;6178987;01/05/1957;solteiro;F
VALDEMAR ;10774851385;7035941;24/02/1968;solteiro;F
VITOR ;11823754332;9738948;20/07/1974;solteiro;F
LUCAS ;11941410975;3781028;13/03/1977;solteiro;M
NALCIR ;10761576242;2618641;03/10/1954;casado;F
JESIANE ;11902344472;2252190;27/01/1973;solteiro;M
DANIELA ;10191556369;6828415;13/08/1954;casado;M
VALDEILSON ;11618936446;2567020;27/03/1982;solteiro;F
NAYARA ;11127066686;1714842;13/08/1952;solteiro;M
VERGILIO ;11763122548;9998967;04/07/1955;divorciado;M
MONIQUE ;10287863647;7302197;06/07/1957;solteiro;M
ANA ;10410392414;4088694;22/11/1956;solteiro;M
KELLY ;10769438033;2616216;31/07/1963;solteiro;M
JOVENICO ;12106435530;6588287;24/08/1973;solteiro;M
ERICA ;10870016676;5587305;09/11/1996;solteiro;M
MICHELLE ;10441774147;8734689;29/05/1969;divorciado;M
GIZELE ;10937533913;9309965;08/06/1991;divorciado;F
LIDIANE ;11449698939;5693493;26/05/1981;solteiro;F
JESSICA ;11044268932;3065402;24/12/1954;solteiro;F
SAMIRA ;10768404170;6724259;20/06/1963;vi£vo;M
ANASTACIO ;10621549617;3506246;27/02/1977;solteiro;M
